영화명,유형,장르,제작년도,감독,actor
타인의 멜로디,극영화,드라마,2013,양영철,"서지승,편보승,이유경,임상준,김진호"
"소설, 영화와 만나다",극영화,드라마,2013,"이상우,박진성,박진석,이진우","한주완,조윤희,김영택,정재원,길덕호,김동규,최홍준,김네모,김민영,오동진,이상우,김성훈,박형민,최덕문,박혁권,신동미,배슬기,류혜린,노진원,윤성현,장자옥,김서형,최원영,김재화,이상훈,나혜진,강신철,김판겸,김지인,조승현,이창윤,정윤선,신지윤,김일현,이송이,홍송국,이기원,서자운비,이경환,서한결,장영준,김하나,박지혜,김판겸"
히어로,극영화,"코메디,드라마,SF,가족",2013,김봉한,"오정세,정윤석,박철민,정하은,정은표,신지수,황인영,정진,배호근,문원주,아부다드,안성훈,송영훈,이유미,제민,황순영,류현,박우주,이윤형,안성원,백소미,이주현,차동신,안민영,이동숙,배단희,김나영,최유진,양주아,이윤형,유승엽,김동해,강등원,김용광,이선기,이현모,서인한,김경훈,최유진,고은이,이용동,손병호,문희경,김경룡"
미녀들의수다 라리사의개인교수,(실황)공연물,드라마,2013,성시환,"라리사,최세웅"
군사통제구역 팔이공지대,극영화,"드라마,미스터리",2013,구모,"박그리나,이승진),김구현),하유미,김세문,이원재,박형석,김병도),이태검,김희완,신예주,강태원,김성수,김태영,한장훈,박현진,손민구,신성호,안준형,이범희,이재호,천강혁,하영준,조현석,김성윤,이대성,김은영,허나리,김민선,구혜리"
"가자, 장미여관으로",극영화,"드라마,멜로드라마",2013,신정균,"장성원,성은채,우도한,여민정,은민,여운복,김하림,전숙,김나영,이형직,문대성,송성현,추승욱,배성호,강문경,염수진,이연주,박성균,김수연,권진실,이정미,강제은,정은지,문준성"
집으로 오는 길,극영화,드라마,2013,김한라,"하성광,이승호"
소년과 양,극영화,멜로드라마,2013,이형석,"김재윤,최다솔,고관재,김홍조,윤희철"
선,극영화,"드라마,스릴러",2013,김수진,"이명하,최규영"
자기만의 방,극영화,드라마,2013,유재욱,"강수야,강영구,정요정,강지원,방혜영,이채미,김무량,서동훈,산초,박준형,정태준,박경민,진형석,김보경,서강범,김정화,변초희,김민희,박중후,최아라,김도연,박예지,상희정,최은미,이정주,송혜영,김주희,김윤희,이가혜,이경은,이정화,유지원,김현진,김용주,은재현,이승환,강태일"
달이 기울면,극영화,"드라마,공포,판타지",2013,정소영,"이민지,김도형"
9월이 지나면,극영화,드라마,2013,고형동,"임지연,조현철,윤희진"
오징어,극영화,드라마,2013,박유찬,"남호섭,이기섭,송요셉,이경훈,채송아"
고스톱 살인,극영화,"드라마,스릴러,판타지",2013,김준권,"이승준,김홍파,권남희,송영재,오대환,김경화,박지성,김민규,정의순,이소영,박변계,김건우,장문진,나귀화,이지영,김경화,박준원,황치연,홍희자,박재현,정영진,성기영,임호경,박형우,유정욱,김종남,이상록,김건우,이은주,이종경,홍승주,김남숙,황치현,이상록,박관희,이은혜,정보경,손민경,이현정"
스케치,극영화,멜로드라마,2013,이혁종,"고은아,박재정,주민하,이동환,송은진,김영웅,김정환,심채원,김나영,임세랑,강태식,권유진,이가영,양지현,이현진,Deanna Lee,김승백,이지소,전승범,지대한,안여진"
사랑의 가위바위보,극영화,"드라마,멜로드라마,코메디",2013,김지운,"윤계상,박신혜,박수진,안내상,김법래,이민아,이선희,김준성,김열,김윤주,백현,정승아,박소연,박미소,이태형"
미국인 친구,극영화,"멜로드라마,미스터리,드라마",2013,성지혜,"남성진,황금희,배정화,한범희,허성수,김희진,홍지연,MATSUOKA,TETSUNAGA,KIM,JIJA,최승미,이지선,이미경,남궁부,서광욱,오종욱"
배꼽과 무릎사이,극영화,"드라마,멜로드라마",2013,이숭환,"허동원,정호준,보리,지현,이요성"
왜 독립영화 감독들은 DVD를 주지 않는가?,극영화,드라마,2013,구교환,"구교환,고보결,하준호,백성철,김한나,임수형,신재영,김택윤,최준하,지언태,김갑도,전경암,손일준,곽소정,조권수,진유석,유태우,이희웅"
저 문은 언제부터 열려있었던 거지?,극영화,드라마,2013,김유리,"장원경,이재우"
중고나라,극영화,드라마,2013,최경준,"김은선,송명진,박진호,박진호"
서울연애,극영화,"드라마,멜로드라마",2013,"최시형,이우정,정재훈,김태용,이정홍,정혁기,조현철","고현,박주희,김동환,구교환,이채은,류혜영,윤도연,한슬기,조현철,윤박,김수아,임지연,안재현,박수진,김예원,이상민,박건우,장현석,김승은,정재열,김선환,김건희,오태진,김민재,문지홍,손승희,정인경,옥주리,조현철,이민지,구교환,박종환,정준화,이정민,박진수,김건희"
자네 아내와 여행을 가고 싶네,극영화,"드라마,멜로드라마,코메디",2013,김현규,"배성우,김희창,김현주,조성희"
더 엑스,극영화,"액션,스릴러",2013,김지운,"강동원,신민아,이솜,김희원,조덕제,백동현,박용균,김선웅,신범식,양명헌,이영수,유정호,김준표,정성우,구본영,조용재"
언원티드,극영화,"드라마,스릴러",2013,크리스 전,"체스터 존스 3세,엔젤라 자누,안나-노라 번스타인,조이 웨버,제프 킴,카이 이세이,아이삭 스크랜턴,에릭 레이스,다니엘 임,치즈 슐츠,오서원,엘렌 아데어"
개진상,극영화,null,2013,김도훈,"구도균,김유민,정준영,문아람,오수민,조수민,홍상표,정준영"
사다리,극영화,null,2013,이동환,"김경,최성진,원종혁,임성민,장덕수,채건,정철,임근서,임유란,이혜리,임근서"
18 - 우리들의 성장 느와르,극영화,"드라마,느와르",2013,한윤선,"이재응,차엽,이익준,배유람,최재민"
미스체인지,극영화,"멜로드라마,코메디",2013,정초신,"이수정,송삼동,정은우,신유주,남문철,진용욱,유일한,주종휘,이한솔,서하윤,오하나,정미마,김순현,오하나,김정은,김도연,라용,이창주,조재벌,김경란,유병권,이주엽,김주경,김지선,김동미,윤혜리,서지영"
수제앨범,극영화,드라마,2013,공리혜,"공리혜,정옥선"
SF 가는 길,극영화,드라마,2013,"임도연,김동수","손덕기,윤가람"
아마릴리스,극영화,드라마,2013,DK 김태균,"이연수,윤동환,송승용"
보호자,극영화,"드라마,범죄",2013,유원상,"이준혁,김수현,배성우,고서희,유해정,노강민,염준혁,박성일,박기천,최성순,김희상,강기영,은승환,윤효원,윤정혜,이상필,김효준),한국영화아카데미30기"
전국 노래자랑,극영화,"드라마,코메디",2013,이종필,"김인권,류현경,김수미,오광록,오현경,김환희,유연석,이초희,김중기,정석용,송해,김용건,신은경,이병준,김태원,서재혁,채제민,정동하,정경순,한철우,서동수,서영주,김경애,최상길,김범래,이준혁,이정은,J 유정은,Sik 김다희,서승현,정일주,백승주,장명갑,이민우,소희정,김미성,유연,오수인,이세랑,최대웅,김정복,김경민,김지숙,최두원,그렉 프리스터,정태영,김재철,오유석,장동일,정종열,정미남,홍기준,박재익,강일생,강신구,김병찬,황진호,하철,이준현,고중원,권태원,홍현민,반상우,김일윤,장성민,정재헌,이진혁"
미스터 고,극영화,"코메디,드라마,스포츠",2013,김용화,"링링,성동일,서교,김희원,김강우,김정태,김응수,정인기,조재윤,김흥래,이준혁,추신수,류현진,오다기리 조,변희봉,김용건,김정은,마동석,정지윤,이금희,조원희,김성주,조민호,윤성호,장유례,배지현,신아영,안경현,한정호,최춘식 캐스터,이광권 해설위원,오종학,강산하,임아름,박영분,박정아,임태현,이미경,황영애,이경미,최송이,김기천,김고은,김예원,김홍수,신세용,나주호,김인우,도용구,정동규,안치용,김정석,성민수,변정현,황선택,강지우,문형천,차정환,김성래,김영환,김재현,김효수,곽영재,석현,김승진,송명석,곽진무,이승민,조수현,김판겸,이성문,신보라,박근영,변우진,설환,김재욱,양원석,오효진,김중돈,서영훈,김진식,여찬수,한상준,박원우,한영균,천영암,김상균,김병찬,탁호연,황진호,서종철,전준형,서규선,천재성,박정훈,이승휘,김호원,최용진,태하,박상진,이탁건,정종윤,손성곤,김인철,김명성,이웅희,김태용,안현준,전신환,차수린,홍서영,장누리,최단비,장종진,이희재,박소민,김선혜,장햇님,임왕섭,김승필,임승묵,차종호,박필겸,박상연,김재윤,김현수,안채은,윤수연,연승아,전유진,김유정,김보민,Wang Shanshan,Pei Jingpei,Li Chengyang,Li Shuanqing,Chan Dongxiang,Zhang Xiaoli,Fu Quanzhen,Gao Hanhan,Sun Peihuan,Liu Xinzin,Zhuo Niannian,Gao Ruina,Shan  Jingyan,Sun Ruru,Hou Xingjing,최민서,황원태,소태훈,송지호,이승연,송수민,민가연,박시은,김혜나,김은우,김지영,임하랑,고한비,김지민,마정석,김정을,이훈민,김권,장윤성,이정민,조재룡,한여울,장민,임재근,요시무라 켄이치,최우수,김진호,조성구,Jesse Day,김용민,손재영,김오복,이법왕,김명국,김민범,조건율,이경훈,박민영,전서영,이정준,남주경,김태훈,김은송,공유석,최우영,최인호,김문정,김정인,홍주희,김진아,이채희,유승호,이재호,김문영,홍기준,이보람,김흥수,신정섭,정다운,임동욱,윤육,김학룡,유창호,김송일 ,남주경,김지율,곽희은,안경현,임창용,김선우,김병현,김태균,Li Lihong,Cheng Yin,Xu Jiao,Chang Jin,Lu Jianyi,Wang Kai,Yan Ming,Ling Yun,Zhao Yi,Shang Hong,Guo Zhengjian,Peng Yao,Zhao Shuren,Zhang Lei,Zhang He,Zhai Cunyuan,Wang Shuai,Li Shimeng,Fan Yue,Li Han,Hui Long,Wang Yu,Wang Qiuming,Wang Dapeng,Wang Yiran,Zhang Ge,Lin Shan,Chen Wei,Zheng Yan,Gao Yin,Li Yingzhi,Bao Bao,요코우치 히로키"
만찬,극영화,"드라마,멜로드라마,가족",2013,김동현,"정의갑,박세진,전광진,이은주,유하늘,김수복,백낙순,최지웅,한송이,차순배,최두영,남윤길,김기연,박인정,박종보,유연,김혜순,성홍일,홍기준,박인수,박소진,조영실,이유나,김진솔,김현숙,민혜숙,방영,이주생,이동원,여정민,민덕기,송준호,김상현,유운,모화경,이상우,이지수,장윤진,송준호,오재균,오미정,김상현,김치복,박순자,김태운,고민호,이정동,강성수,박수철,이주생,박영주,주서윤"
아무 것도 사라지지 않는다,극영화,드라마,2013,김승혁,"김병옥,박노식,김근영,노준영"
별에서 온 그대,TV-시리즈,null,2013,장태유,"전지현,김수현,박해진,유인나,신성록,나영희,안재현,홍진경,양배추,남창희,이일화,엄효섭,김창완,이정길,성병숙,오상진,김현수"
이것이 우리의 끝이다,극영화,드라마,2013,김경묵,"김수현,유영),정혜인),공명),신재하),이주승),안재민/강도1),김새벽/강도2),이바울/강도3),신운섭,남미정,최석준,강봉성,변준석,이지연,정영기,강영구,정준혁,이종필,윤영미,이승준,신동훈,강현우,이세민,최성희,김시연,강나연,현종우,장성우,이형주,김현정,조민주,동효희,이재인,Amel Hesham,Siham Alidra,Rabaaoui Hanen,Genshar Capella,조현주,김영미,우승인,윤현식"
공범,극영화,"드라마,스릴러",2013,국동석,"손예진,김갑수,임형준,김광규,하경민,박사랑,강일,최은석,김호승,유태선,전준혁,송정우,김태리,엄태옥,유영복,유승희,이선아,홍서영,최단비,박연두,유지연,유원선,정민성,김도현,조유신,박지연,정장한,서대운,김미희,전진우,김승훈,김재혁,이수연,박혜미,김도연,장루비,박주용,임지현,김경헌,함채영,최호원,변이철,유형서,허보름,강신일,서갑숙,임종윤,이규한,조안,이수연"
소녀,극영화,"드라마,미스터리",2013,최진성,"김시후,김윤혜,문창길,정인기,기주봉,이장유,조한철,우정국,박진우,윤경호,정동규,주유랑,박소담,장인섭,오희준,김광섭,이태희,천정하,허태경,최문수,안희주,류대식,서현우,김새봄,한희정,한창현,박준서,김록경,임수완,김진모,고은총,김봉성,김동석,김시현,김승희,김경욱,노태균,박상훈,박정은,소민섭,안성찬,임준수,유영훈,정연주,최수연,민정화,김은아,손윤서,김영진,황연지,정한희,오동건),이진주),안민영,신예지,이정섭"
청야,극영화,드라마,2013,김재수,"김기방,안미나,백승현,명계남,장두이,이대연,김현아,김용진,경인선,지대한,오성태,김남진,홍광석,이숙,조양근,이준희,이근호,박외종,이효정,이원발,이홍기,강태영,양귀례,정예진,이춘자,이원재,김성재,이다은,김영자,장정연,김해원),정예진),손미대자,손선애,오옥순,김순덕,신춘이,은영모,하병준,서진수,김동찬,신재훈,임춘섭,엄환섭,김보성,김영희,김차석 옹,김운섭 회장,문병현 고문,문철주 고문,임호섭 고문,신성균,정현순,조성제,박월수,김운출,이덕화 ,김종규,서호윤,신현우,문나연,이다영,구민정,박서현,이지훈,정진,박민재,박준형,이나영,최원준,곽민관,김석중,김예진,서호성,신중현,김준수,김지현,박동엽,손민영,신아름,최병준,이승언발바라,김윤중바오로,김태섭마태오,김동석베드로,장준덕브르노,김기오M.꼴베,고승환F.하비에르,허재영마르첼리노,강임숙안나,하인숙아녜스,천선옥글로리아,신화순미리암,김영분엘리사벳,구경호루시아,강현옥글라라,김현주로사,유경자리드비나,최완전카타리나,박창희,박영호,홍삼식,신한범,박종부,김운출,도정기,구교정,정현식,백옥석,정남진,박석진,김병길,박문규,김재수,이갑수,곽태섭,김태중,김대웅,박성출,김일용"
네버다이 버터플라이,극영화,"드라마,액션",2013,장현상,"신재승,김태윤,박연주,강기둥,최영성,이달,하수용,이미노,김고은,고은민,남태부,김최용준,이진탁,최혁일,강희제,이승택,오희준,이승현,서원호,박진표,박현기,홍승현,양찬우,박지수,김해인,류선영,송유담,남명렬,최규환,장진훈,김경민,이현진,김태수,이광헌,박두원,허수정"
리턴매치,극영화,"드라마,멜로드라마",2013,"김용완,선종훈","이지훈,정연주,유순웅,김형욱,허지원,신혜선"
한 번도 안 해본 여자,극영화,"드라마,멜로드라마,코메디",2013,안철호,"황우슬혜,사희,김진우,김종석,민성욱,오민석,공호석,최승일,전재형,설지윤,안여진,김정미,송규현,장원종,조순재,윤예성,김혁호,변우진,정용구,이태훈,이지형,주철,황정두,김정호,박지환,전다영,신서현,심재원,박소영,임종미,이재호,서영주,이서연,김현아,민다애,배솔,유세이,이상희,이슬비,이은지,이현정,신대호,미나,권혁종,옥주리,박미나,이재은,이지형,오정우,백옥균,최찬숙,박우란,황진형,오세민,강봉성,유민경,정환욱,배대형,원광필,최철규,정환욱,새미,박영길대역),신새은,김동길,박근록,한수아,김진숙"
족구왕,극영화,"드라마,코메디,스포츠",2013,우문기,"안재홍,황승언,정우식,강봉성,황미영,박호산,류혜린,진태철,최형선,김왕근,윤동환,이세랑,이종민,김선아,김창환,한근섭,강도용,홍현택,이경미,나혜진,Laura Di Nucci,심희섭,김선간,김승필,김주호,곽민규,하성국,박준식,문상현,이소연,정미나,임영우,김유진,김승기,한지혜,배유람,배성윤,이환희,한태진,엄선용,김건희,권오광,최용규,김건하,윤여진,강희재,류기산,최민호,우병호,이상규,김영강,고봉곤,장민상,강태우,이은지,홍재완,김영집,이승현,전소연,김나경,송영훈,곽슬기,권진우,엄선용,중앙대 예비군들,김소희,박지연,박근철,서지수,신소민,최혜주,김혜경,권오광,이요섭,전고운,고아영,김호근,문병곤,진태성,한아름,김수지,정의동,김보희,우문지,이은순,배현정,강정희,이시연,김유진,손희경,김건희"
또 하나의 약속,극영화,드라마,2013,김태윤,"박철민,김규리,윤유선,박희정,유세형,김영재,정영기,김창회,박혁권,오대환,장소연,김선영,황춘하,박명신,이새별,박유밀,성열석,김탄현,박윤호,남기애,정명철,강진아,김지환,이태형,신지운,강홍렬,신재형,김태영,이소연,정홍일,김장동,김영환,윤수진,이동용,최혁진,김민식,석현,홍만석,박주환,구은영,김용완,한은경,변동욱,최세용,강선영,김좌형,최우형,이창윤,박주형,윤민,문정웅,박형수,김리승,정상민,이성준,이사운,케빈,전소현,김미준,신혜정,곽자형,김종언,정태수,윤태영,정태수,김수현,황은지,김채원,우혜영,방은솔,김재헌,임나무,박정아,이승불,세랑,전인혁,임정옥,서윤하,이채연,최미진,김민경,강해준,최효원,임소윤,이혜영,이선영,정구헌,황연아,김형일,김인혜,나경아,박기삼,최영옥,박무범,최효진,박윤선,이경영,정진영,임종윤,맹봉학,노종면,신현탁"
출출한 여자,온라인 영화,옴니버스,2013,"윤성호,이병헌,이랑,박재민,박현진","박희본,최필립,홍완표,최배영,박혁권,양현민,조한철,김태용,이우정"
레디 액션! 폭력영화,극영화,액션,2013,"정재웅,최원경,김도경","민호열,이가영,오성근,최원경,장철민,박종환,장우진,이사라,정성욱,우서현,황하나,안수정,백창민,황의준,오탕,정연,윤국진,황재필,김영각,이보석,권구현,김인형,배우경,김도경,김태경,정희원,오세윤,송새암,김진,김찬호,김준일,진성일,신수이"
도희야,극영화,드라마,2013,정주리,"배두나,김새론,송새벽,김진구,손종학,나종민,공명,김종구,박진우,아르빈드알록,문성근,장희진,김민재,로빈,바룬,윤희철,추말숙,한중곤,김종필,공호석,서광재,남귀영,이정은,옥주리,강인영,이현정,박찬국,남문철,엄옥란,강승진,홍준표,김건하,송부건,김태웅,공성철,김용희,위승환,유정운,조유진,박혜진,나채형,이승원,최효선,성정은,김민선,이호현,서영제,김경재,윤은지"
레드카펫,극영화,"드라마,멜로드라마,코메디",2013,박범수,"윤계상,고준희,오정세,조달환,황찬성,신지수,손병욱,이미도,안재홍,임은지,이찬희,이태형,남연우,수지,지원,이예령,이광훈,해일,김자영,김현정,서하진,김재철,형진하,이재연,윤서진,유성균,배기범,김대진,조예현,이현웅,국선,김리원,김우석,조혜선,이대진,전여진,서승억,배범식,조명행,윤정석,전인걸,김민재,허진,최현욱,홍기용,김신범,한국진,조재봉,정미숙,강규헌,장래군,김율리,정휘서,이선민,김용식,박정희,조국희,이소정,윤정식,혜진,성지루,명계남,윤다경,송삼동,민성욱"
고령화 가족,극영화,"드라마,가족",2013,송해성,"박해일,윤제문,공효진,윤여정,진지희,예지원,김영재,박근형,유승목,박영서,김지영,양희경,김경애,김해곤,이영진,정영기,오민애,전수환,김대진,이승찬,강풍,정승환,이규섭,임승묵,이학렬,서왕석,임효우,권수현,이법왕,박정표,남궁인,강석철,이승현,전아현,양지현,김경민,윤경호,홍윤정,유연미,한성용,김계선,신창수,김성태,나주호,김원영,이승준,오금혁,노윤성,구연희,김희열,김근영,이성재,황순혁,이진주,소대수,장향숙,엄경순,김수아,송은미,우혜진,조아라,박상현,황병국,이강진,지원,박건률,강하예진,박용수,최철수,정광호,선현철,홍진성,송진영,김석영,황유진,문선영,원지영,이경민,김태우"
깡철이,극영화,"드라마,가족,액션",2013,안권태,"유아인,김해숙,김정태,김성오,정유미,이시언,신정근,김인우,배슬기,장태성,김병서,김서경,최영성,한상현,이동훈,신창수,원미연,양지웅,한상현,이성재,박소희,이동연,길정환,이동훈,이승택,이창기,신경주,서은솔,이태영,김켄트,김철웅,류종혁,정민균,유상흘,송민정,김평삼,정원혁,이정형,이은주,박수빈,조혜진,박순점,김가영,김나영,김소희,정흥철,이승민,심지민,이채영,하수진,이주현,김혜주,강혜정,송금순,김영미,권금산,천기돌,박규선,황인성,손희정,이동현,송영창,김현숙,고인범,이정헌"
123km,극영화,"드라마,가족",2013,김미경,임영이
방황하는 칼날,극영화,"드라마,범죄,스릴러",2013,이정호,"정재영,이성민,서준영,김대명,김현,이수빈,이주승,최상욱,김지혁,김홍파,김대영,장석용,박영신,장형석,윤종인,김태준,김원진,송재룡,백인권,조연호,김선화,민경진,선욱현,이장유,장영갑,김수진,최용현,박건락,이중옥,박성근,여운복,백지영,안진형,김진태),서주연),강석원,백정호,김가현,김현호,이동기,이진성,김찬호,윤동환,강동윤,이수경,여소현,안지현,김윤지,신아영,우소영,김지원,이보라,정지현,여유림,김재향,박진선,황은선,김세화,신동기,문재현,이대은,장정원,양인혁,노동석,안제홍,김광섭,신지연,박귀순,한상우,김화석,백설회,이재동,차수빈,이지석,주형률,박종욱,정혜정),주예린),유지은,박성준,송관섭,남정훈,조성룡,김민경,송분옥,이봉,이나영,전화남,이종원,이상민,윤창진,김태규,유승윤,양해원,이슬기,김민경,김현기,정욱련,이승현,오동건,이진주,류주현,오정세"
코알라,극영화,드라마,2013,김주환,"박영서,송유하,박진주,박용연,문선용,박근록,정재호,반소영,어성욱,홍유,최민,신성원,박주현,박경혜,전수연,안영주,김명현,김윤희,황윤선,최종민,유수민,김별,박종원,박민지,정소용,오현교,이예슬,이주운,이혜은,장수석,이재은,윤정호,임성규,김승리,강준호,한장우,신은호,안재원,정우민,신기훈,조설원,우준혁,Daria Jrutova,Sandara Meynier Kang,솔연빈,류인,최유동,김태현,최익수,이명행,박정훈,전태익,문현준,서민서,윤성준,홍지환,오푸름,조수아,장진순,지용진,강민호,김태영,김걸,손승현,박성훈,김민채,강맑음,고영은,김성문,김유경,김효빈,곽혜정,성혜진,안연주,오정인,우정화,유재은,이정화,이진이,임수진,임채린,한민정,한영원,황유진,고정일,조상근,노형욱,홍영근"
인간중독,극영화,"드라마,멜로/로맨스",2013,김대우,"송승헌,임지연,조여정,온주완,박혁권,전혜진,엄태구,예수정,윤다경,정상철,김혜나,송지인,장윤실,설유진,김경선,유예원,김정현,김빈,이희석,오순태,김두봉,문재원,김현우,엄지만,송욱경,이훈재,박일우,오태하,김오복,김한준,강득종,소상일,김광태,오희준,노상현,이진무,김대영,김우영,방지혁,박수한,김민재,김제현,김재량,김민범,임경민,최우창,임채선,안헤민,문새암,박수진,김정숙,육찬미,임다빈,이상미,김주희,김연희,한하유,서해솔,안위제,김문조,백승범,김영민,김도현,신기환,박동국,이양석,정윤,윤수정,백철,연지원,노명주,김유건,손윤서,강동윤,Pedro,Peer,Daniel,Grace,Emmalyn,조남민,김연지,양승희,유해진,정원중,연제욱,이승준,배성우,박수진"
댄서김의 은밀한 교수법,극영화,"공포,드라마",2013,신혜성,"김기수,리사,아리"
연애의 기술,극영화,"드라마,멜로드라마,코메디",2013,이수성,"홍수아,서지석,한수아,최종훈,이종우,Alessandrea De Rossi,주아성,차지훈,지대한,Richard Quan,정영섭,윤지아,정라용,황두하,김지혜,황보미,김아라,이진솔,서이,박설영,최혜정,이청,송윤아,권진경,김범서,박정우,이광진,심영천,정민호,이단비,김나래,이상윤,김도향,김명곤,김경진,Joven S. Bayudang,Jaypee A. Orcullo,RyanSaldo,Jose Dupalco,Jessica Adralus,Ma. Andrea Tabanao,Harold Demesa,Oliveros Ramil,Joyce Sumalpong,Kristel Cuevas,Christopher Embir,Ma. Luisa S. Arriesgado,Janet C. Dormido,Wilmer E. Tudtud,Donalyn G. Fernaneez,Jenneth A. Villanueva,Celia C. Pihceol,Gredeorio L. Pihceol,Sam Bautista,Victor Viola,Anthony Buca,Roucan Defensor,Albie Mangubat,Adime Row,Nobuo Onizuka,Barbara Ann Gallarow,Rio Maiz,민수희,성지영,한지은,김광식,강미재,박계수,김미영,Tampus J. Louie,Allen,Thesa,Lara,서예은,서예준,유동우,김정재,김주희,유영실,오승진,오제영,Philip Pagobo,Salic Ma-Amor,Nopiau Tudlasan,Poland Mahusay,Jeanlow Banuag,Charnaine Ruiz Ceniza,Melissa Inihao,Ricky Tiyok,Wedy Mahusay,Abraham Paradis,Charizza Obillo,Jane Ayos,Radin Joy A. Oajao,Nactl Snooky G. Suson,Marianee P. Abanes,Shielou Canete,Fancis Nillas,Al Abellero,Genevieve Torregosa,Ramies Ino C. Bongo Ⅱ,Jehanz Isales,Stephany P. Jumay,Jovan Ngoho,Kristelle Suralta,Krystal Lozano,Brigette Tamidles,Jhen Delliva,Janelle Igot,Jofedren Bermoy,Fresh Zamora,Aprilet Ouano,Suzette Samson,Jet&apos;aime Delrosario,Claire Igot,Sweet May Ligutan,Manikses Mascarado,Rachel Declaran,Katharina Empuerto,황보미"
변호인,극영화,드라마,2013,양우석,"송강호,김영애,오달수,곽도원,임시완,송영창,정원중,조민기,이항나,이성민,차광수,한기중,심희섭,김동현,조완기,차은재,최주희,주명철,조선묵,유하복,김봉환,지건우,최은석,최현,최정현,박상현,신안진,조기왕,조유신,이선희,장리우,정준원,이현정,이정은,이진희,민경옥,박성근,신승용,김찬이,원호섭,윤탁,한승도,조용준,정재민,권오진,이설구,노영하,장우진,이해성,김승태,신욱,황건,권영국,양명헌,정원조,윤준호,이호원,설창희,홍도성,김형석,김호진,양정인,이동현,이정건,최태환,김리후,육미옥,김호연,백성식,김선주,김가영,이준기,이형은,김서영,오병남,전광진,조현덕,김경인,이상호,김성민,류수영,박수영,정성화,김호진"
짓,극영화,"드라마,멜로드라마,스릴러",2013,한종훈,"서은아,서태화,김희정,곽민호,오성태,최영환,김성범,문형주,류한홍,백정현,오상민,조재룡,송대중,안민영,손진호,류호장,이설구,이동환,이윤상,정미남,심형민,류미란,정진희,조형우,이상엽,박근영,강지선,엄지혜,이수연,정경화,손상미,장윤경,이수희,라미란,이준혁"
롤러코스터,극영화,"드라마,코메디,재난",2013,하정우,"정경호,김기천,김병옥,최규환,손화령,이상원,이수인,한성천,임현성,강신철,김재화,김재영,김예랑,고성희,나혜진,Beatrice Anyango Okech,황정민,이지훈,고규필,김선경,홍성하,홍다미,강한나,강호,Emmalyn Rosell Kim,최당석,유명상,최준혁,양정웅,김한길,최진욱,백기창,이이순,김행혜,오광록,강성범,하정우,김성수,마동석,김성균,이상훈,이준호,이은지,유영교,위지영,이성식,전채윤,이승미,추은진,고주연,신지수,정휘경,최하영,황지은,오은혜,백승훈,이성원,이명재,서영아,최석원,김해인,김미정,이어진,신우철,김채경,김선정,김해인,김미정,이소원,최우연"
은밀하게 위대하게,극영화,"액션,드라마,코메디",2013,장철수,"김수현,박기웅,이현우,손현주,박혜숙,고창석,김성균,장광,신정근,홍경인,이채영,최우식,구승현,조용진,엄태구,문원주,김법래,리민,조영진,윤원석,박정기,고인범,이상보,육세진,강은탁,박장식,원현준,허석,손준영,홍태의,성유빈,고태열,홍인목,이규섭,이정훈,원석,설우신,송경호,정영기,안수호,김재국,박근혜,황의준,김영생,안요한,장하은,장하진,유영진,김홍근,윤지욱,김대현,이재남,이명규,김용호,이주원,주현,이연경,김도균,박은빈,박휘순"
환상 속의 그대,극영화,"드라마,멜로드라마,판타지",2013,강진아,"이희준,이영진,한예리,최은아,기주봉,박명신,배제기,오대환,권혁수,박미현,오창민,이남희,선종남,임근아,이상구,임성미,이진성,전상률,김슬기,이주호,서주연,이현지,김희림,전수연,최효신,김용삼,황지수,박미소,유슬기,이윤정,최창엽,표상수,한유승,김다은,김선우,남궁봄,노애경,방현웅,설혜영,신수정,양으뜸,유유진,유하민,윤종석,이은호,진리아,최서경,이솔잎,김하얀,이크림,고아롱,장꽃분,고다롱"
붉은 가족,극영화,"드라마,액션",2013,이주형,"김유미,정우,손병호,박병은,박소영,강은진,강도은,오재무,이양희,박명신,이재구,추승욱,주희중,김재홍,전진배,서동구,강수호,김재묵,장윤실,김성환,김현지,김희창,조한철,임현철,한동희,이혜린,주부진,손흥민,도유진,고세원,박옥출,박효준,나철,고낙현,이존승,김병옥"
아름다운 이별은 없다,극영화,"공포,스릴러",2013,이상화 ,"고수현,황정아"
러브씬,극영화,"드라마,멜로드라마,코메디",2013,"이정원,김두헌,문인대","김준원,권소현,한요준,황복순,장효진,정우준,윤희진,최현호,윤지아,김성현"
비상구,극영화,드라마,2013,이상우,"한주완,유소현,길덕호"
별일아니다,극영화,드라마,2013,김상석,"김상석,김은주,김태희,백재호,카이노유니,임영진,정임순,정다혜,한진선"
팡이요괴,극영화,드라마,2013,박천규,"강태영,하윤경,이용녀,김소숙,신현탁"
미녀전쟁,극영화,"드라마,코메디",2013,임진승,"황선화,이은미,류아진,박하늘"
아이리스II : 더 무비,극영화,"드라마,액션",2013,"표민수,김태훈","장혁,이다해,이범수,오연수,김영철,임수향,윤두준,이준,데이비드 맥기니스,윤소이,이정길,조성하,김종구,김갑수,윤주상,백성현,김일우,차현정"
