영화명,유형,장르,제작년도,감독,actor
누나,극영화,드라마,2012,이원식,"성유리,이주승,엄옥란,최범호,임세호,김남규,윤경선,오은미,최수경,이용자,박준하,박준희,이병준,조민경,서주성,김동석,김민경,이예린,이재완,김호연,박영복,장소영,김정수,고원준,김영관,김동현,이태인,김모세,정규필,이응재,김선영,원유란,김상미,이현구,박선희,김문정,김가영,최혜민,김아영,박하은,고진아,장경식,노진호,엄인휘,김영식,안미영,박종호,전희정,민중기,박재미,하민호,임필순,박정민,장예준,박정인,장예원,이준희,박상빈,박상하,박상현,박호준,지요,히스팝,구교혁,김경배,김동건,김동근,김성수,김성용,김성준,김현수,남동민,노길형,노용수,황세연,맹학영,문원진,박경민,박기태,손형원,신동인,신민재,신우혁,오승록,유재섭,유태호,이경태,이선교,이영훈,이정훈,이현경,임태섭,정현술,한덕규,한진성,황병권,독고현옥,최숙경,최혜경,김민경,이인풍,한연숙,박지현,안현숙,박지현,정윤경,최상미,손진우,길민경,강명원,김선애,강찬,전신혜,이태진,원창의,김태영,이상우,오수안,최승리,최환희,강주리,박명수,최선화,권정은,윤홍렬,함흥만,김명수,차상균,최진욱,이민경,이아연,기철환,송준,이태인,김소윤,이영성,임길자,정영미,이승원,이인모,정효진,이찬송,정성숙,임지우,이기쁨,정진비,이원식,윤정재,정지호,하민호,조호진,김슬기,정규필,박승완,김동진,김용준,김준호,전인성,김하얀,이선영,이정구,김태형,김효정,위청동,양동희,진한웅,김지나,노승우,강가해,유선,윤정란,김아름,정보라,권수정,데이비드 장"
청출어람,극영화,"드라마,판타지",2012,"박찬욱,박찬경","송강호,전효정"
코리아,극영화,"드라마,스포츠",2012,문현성,"하지원,배두나,한예리,최윤영,박철민,김응수,오정세,이종석,박영서,권태원,유형관,박정학,이한위,김원해,성병숙,이주실,김재화,단영,장리우,이정민,허승,김민재,이경헌,박지연,신모경,성도현,한근섭,김진옥,강수영,전승재,이상원,주영호,유영기,강내균,김명진,신동훈,최재훈,김서경,박기덕,정종훈,신동환,천우희,이은주,차청화,조순재,권은수,박서연,박현수,허재호,김종언,천기돌,김홍수,왕장명,김인우,최우수,브라이언 헤밀턴,폴 로버트 스태포드,최경만,한인규,남문철,조용진,박차라,마이크 마이어,남보옥,윤부자,볼테페우 셀레멘체, 로라,보스퀴에르 앨리스 마리에, 로셀리니,보르자 볼레리아,스지모스캬 올가 캬타지나,박 나탈리아,김승실,김민희,고소미,김수진,박경애,정유순,이현주,이은희,홍혜림,염지나,대한탁구협회 국제심판/1급심판,양양어머니합창단,부산기계공고 민속부,요코우치 히로키"
해운대소녀,극영화,드라마,2012,이정홍,"이재석,최서영,정경화,최예원"
용의자 X,극영화,"멜로드라마,미스터리",2012,방은진,"류승범,이요원,조진웅,김윤성,김보라,이석준,임성민,곽민호,권해효,남문철,박형수,남연우,이황의,이수형,김주령,한도현,김아론,이동하,이규형,김창회,김기훈,서동범,김가은,백승도,강소이,강성수,박정표,김보궁,최연동,이승훈,이승찬,홍승현,오준범,홍준표,김광훈,안수진,김상혁,명계남,송영창,채영인"
강철대오: 구국의 철가방,극영화,코메디,2012,육상효,"김인권,유다인,박철민,조정석 ,김기방,김강희,권현상,조경현,신정근,고창석,이두일,신현빈,신지혜,김인우,김완선,이건주,최민,유신애,정주리,박영수,장세준,김유빈,임하나,한상준,조민철,정형호,이명노,김연우,장순영,정재호,조흰돌,윤성웅,장진영,노재한,김미려,주상치,금보,박재철,김정국,강력,김선하,송영재,박영서,안용준,탐 콜린스,달시 파켓,한국진,오희준,이규섭,박민희,임진택,강영규,이현학,손영민,이주호,차청화,방대한,코리,하일,정도원,이정은,전보미,김인호,김리아,신재영,김승연,피터,칼리나,강희중,육상효,박상진,김지수,전인걸,전설,김미림,김복근,황순범,김선혜,김수경,손진우,임명현,김경재,박슬기"
간첩,극영화,"드라마,액션,코메디",2012,우민호,"김명민,유해진,염정아,변희봉,정겨운,정만식,이승호,김법래,조재평,송봉근,오나라,천보근,황채원,조문의,김진희,박진우,우민규,성지훈,민복기,김자영,곽민석,지인숙,이새로미,박일목,홍경연,정우혁,박진영,김홍수,류제승,전보미,곽진석,윤종구,반소영,알렉산더 에르쇼브,니콜라이 에이노브,안톤 스키노브,안드레이 모고산,원인재,정도원,박현수,황준혁,오순태,서재현,박상진,배우진,정병두,김서경,강성철,이문석,이민우,서현우,한성용,김지수,윤원재,조민호,백현우,김민석,김현우,이경헌,정호준,윤호,배태원,김성수,서규선,박종환,김선웅,장한승,장연민,조민철,김진래,박유영,박지소,이선관,송경철,오동건,김선영,이주선,양기옥 감독,이대한,김민석,심영균,최재웅,김민혁,조효준,박종빈,서유로,유혁식,유현욱,임준서,이성찬,정재원,최현규,유민,이강산,윤상현,김영욱,김영민,박지훈,오광록,김민재,조영진"
잠 못 드는 밤,극영화,드라마,2012,장건재,"김수현,김주령,유종연,김희연,이희성,정대용,최현숙,정영헌 "
미쓰GO,극영화,"액션,코메디,범죄",2012,박철관,"고현정,유해진,성동일,이문식,고창석,박신양,이원종,남성진,진경,김병철,조석현,김원식,하재숙,유하복,주명철,장준녕,진태현,김서원,김영주,손선근,나기수,홍지영,정재성,우정국,김경태,이영삼,유태선,이태경,배효원,김혜원,진용욱,한일규,김승훈,한동룡,정우식,정기진,김우석,박정표,이유준,이주한,김영민,최창준,정흥철,한상휴,김희선,양선희,이한양,백한나,이정아,뮤직뱅크"
바비,극영화,드라마,2012,이상우,"이천희,김새론,캣 타보,캣 태보,조용석,얼 잭슨,최화림,권진희,이상우,김민수,김윤경,박경균,정기철,이강섭,이광자,정재욱,정지민,이정민,최성우,김한나,박채연,안지원,오홍재,안도기,정민우,황민식,최혁락,김세훈,노민수,최윤서,허다연,천예설,김단비,최가현,김경모,김성훈,강혜구,양순호,김지수,정영주,서철민,김돈건,오원재,김정식,김대훈,유지예,김나민,최영진,서성현,정우상,김남희,정성룡,김영미,정우진,조영준,신예찬,임원균,조우진"
